applicationCompletionTime,dataSize,nCores,nCoresTensorflow
628762,1000,38,40
673620,1000,38,40
1950212,2500,14,16
2025059,2500,14,16
1922392,2500,14,16
2019932,2500,14,16
1983598,2500,14,16
2576117,2500,6,8
2614269,2500,6,8
2528805,2500,6,8
2575816,2500,6,8
2580404,2500,6,8
1598233,2500,34,40
1510500,2500,34,40
1760245,2500,24,40
1832064,2500,24,40
1679351,2500,24,40
1631719,2500,34,40
1619675,2500,34,40
1532921,2500,34,40
1811292,2500,24,40
1803480,2500,24,40
974976,1000,4,8
998598,1000,4,8
982777,1000,4,8
996535,1000,4,8
973131,1000,4,8
1888784,2500,22,24
1864031,2500,22,24
1878200,2500,22,24
1853149,2500,22,24
1870924,2500,22,24
875855,1500,34,40
991303,1500,34,40
951116,1500,34,40
886990,1500,34,40
865608,1500,34,40
1561206,2500,42,48
1564620,2500,42,48
1678784,2500,42,48
1451493,2500,42,48
1611618,2500,42,48
1529659,2500,44,48
1576867,2500,44,48
1557183,2500,44,48
1532057,2500,44,48
987836,1500,40,40
958646,1500,40,40
956733,1500,40,40
980710,1500,40,40
926751,1500,40,40
962682,1500,36,40
957671,1500,36,40
864498,1500,36,40
882527,1500,36,40
955825,1500,36,40
879623,1500,42,48
1088726,1500,24,48
1032406,1500,24,48
961540,1500,42,48
1059004,1500,24,48
903638,1500,42,48
1071830,1500,24,48
899861,1500,42,48
1048559,1500,24,48
889913,1500,42,48
2604624,2500,4,8
1844153,2500,4,8
2551378,2500,4,8
1850355,2500,4,8
1800694,2500,4,8
2623220,2500,4,8
1859978,2500,4,8
2669295,2500,4,8
2482967,2500,4,8
913341,1500,46,48
904625,1500,46,48
1100138,1500,24,48
947116,1500,46,48
997352,1500,24,48
919084,1500,46,48
1043417,1500,24,48
998023,1500,46,48
1044284,1500,24,48
1006362,1500,24,48
1697013,2500,28,32
1612611,2500,28,32
1664962,2500,28,32
1670393,2500,28,32
1689937,2500,28,32
